insert into JPAEMPLOYEENEW values(1, 'firstName1', 'lastName1', '55512121');
insert into JPAEMPLOYEENEW values(76, 'firstName76', 'lastName76', '555121276');
insert into JPAEMPLOYEENEW values(77, 'firstName77', 'lastName77', '555121277');
insert into JPAEMPLOYEENEW values(78, 'firstName78', 'lastName78', '555121278');
insert into JPAEMPLOYEENEW values(79, 'firstName79', 'lastName79', '555121279');
insert into JPAEMPLOYEENEW values(80, 'firstName80', 'lastName80', '555121280');
insert into JPAEMPLOYEENEW values(81, 'firstName81', 'lastName81', '555121281');
insert into JPAEMPLOYEENEW values(82, 'firstName82', 'lastName82', '555121282');
insert into JPAEMPLOYEENEW values(83, 'firstName83', 'lastName83', '555121283');
insert into JPAEMPLOYEENEW values(84, 'firstName84', 'lastName84', '555121284');
insert into JPAEMPLOYEENEW values(85, 'firstName85', 'lastName85', '555121285');
insert into JPAEMPLOYEENEW values(86, 'firstName86', 'lastName86', '555121286');
insert into JPAEMPLOYEENEW values(87, 'firstName87', 'lastName87', '555121287');
insert into JPAEMPLOYEENEW values(88, 'firstName88', 'lastName88', '555121288');
insert into JPAEMPLOYEENEW values(89, 'firstName89', 'lastName89', '555121289');
insert into JPAEMPLOYEENEW values(90, 'firstName90', 'lastName90', '555121290');
insert into JPAEMPLOYEENEW values(91, 'firstName91', 'lastName91', '555121291');
insert into JPAEMPLOYEENEW values(92, 'firstName92', 'lastName92', '555121292');
insert into JPAEMPLOYEENEW values(93, 'firstName93', 'lastName93', '555121293');
insert into JPAEMPLOYEENEW values(94, 'firstName94', 'lastName94', '555121294');
insert into JPAEMPLOYEENEW values(95, 'firstName95', 'lastName95', '555121295');
insert into JPAEMPLOYEENEW values(96, 'firstName96', 'lastName96', '555121296');
insert into JPAEMPLOYEENEW values(97, 'firstName97', 'lastName97', '555121297');
insert into JPAEMPLOYEENEW values(98, 'firstName98', 'lastName98', '555121298');
insert into JPAEMPLOYEENEW values(99, 'firstName99', 'lastName99', '555121299');
insert into JPAEMPLOYEENEW values(100, 'firstName100', 'lastName100', '5551212100');
